Residue,DMD,,OPLSAA,,Amber03,,GROMOS9654a7,
ARG,ARG,ARG,ARGN,ARG,ARG,ARG,ARGN,ARG
ASP,ASP,ASP,ASP,ASPH,ASP,ASH,ASP,ASPH
CYS,CYS,CYS,CYS,CYS,CYS,CYS,CYS,CYSH
GLU,GLU,GLU,GLU,GLUH,GLU,GLH,GLU,GLUH
HIS,HIS,HIS,HISD,HISH,HID,HIP,HISA,HISH
HIS,HIS,HIS,HISE,HISH,HIE,HIP,HISB,HISH
LYS,LYS,LYS,LYSN,LYS,LYN,LYS,LYS,LYSH
TYR,TYR,TYR,TYR,TYR,TYR,TYR,TYR,TYR
